장소,별점,주소
만재네 종로점,4.57,대구 중구 중앙대로79길 24 1층 만재네
부산안면옥,4.29,대구 중구 국채보상로125길 4
포크팬,4.5,대구 북구 동북로 219 포크팬
우각정식당 수성못점,4.41,대구 수성구 용학로 111 1층 우각정식당
슬로우라이프,4.51,대구 수성구 동대구로77길 33-4
레오차우,4.61,대구 남구 큰골길 46
홀란드,NaN,대구 북구 칠성남로15길 9-1 1층 홀란드 뮤지엄
소소래,NaN,대구 북구 학정로 284 (구암동)
사파키친 동성로점,NaN,대구 중구 동성로2길 4-9 1층(봉산동)
디쉬업,NaN,대구 중구 달구벌대로 2125-7 1층
오가닉모가,4.66,대구 중구 동덕로 48-5 오가닉모가
슬로우벗베럴 대구점,NaN,대구 동구 신평로 113
인문공학,4.45,대구 동구 동부로 156 인문공학 동대구
명동돼지한마리,4.61,대구 수성구 범어천로 48 명국빌딩
해쉬,NaN,대구 중구 동성로 8-7 해쉬Hash
송림식당,4.71,대구 동구 동부로 13-1 구두수선대10
울릉도해물탕 본점,4.42,대구 수성구 청수로 96
간큰갈비 태전점,4.49,대구 북구 태전로 37 1층 간큰갈비
카페 아이올리,NaN,대구 수성구 달구벌대로652길 16 1층
다이닝슬로우라이프,NaN,대구 수성구 상록로2길 45
삼거리회타운,4.7,대구 북구 구암로 280-1
류센소 범어점,NaN,대구 수성구 달구벌대로496길 5 1층 류센소 범어점
식당이백도씨,4.56,대구 달서구 진천로 36 식당이백도씨
미진분식 228직영점,4.4,대구 중구 동성로2길 69 미진분식 228점
덕일생고기,NaN,대구 중구 공평로8길 14-9 1층 덕일생고기
스완네,4.55,대구 수성구 동대구로80길 73
만복이쭈꾸미낙지볶음 동대구점,4.46,대구 동구 동대구로 448
고기9단 침산직영점,4.84,대구 북구 침산남로 197 2층
약전골목원조국수 수성점,NaN,대구 수성구 수성로 393
종로횟집,4.34,대구 중구 종로 40
까사드테하,NaN,대구 달성군 가창면 녹문길 16-11 1층
교동낙원,NaN,대구 중구 교동4길 11
조밀,4.51,대구 중구 달구벌대로 2115-2 1층 조밀
반월당 부자식당,4.68,대구 중구 관덕정길 13-13 1층 부자식당
성서 제1능이버섯 능이백숙,4.82,대구 달서구 달구벌대로251길 12 성서 제1능이버섯 능이백숙
뉴욕뉴욕 바이 켄싱턴,NaN,대구 달서구 두류공원로 200 이월드 83타워 78층
뜨삽FMD 수성본점,4.48,대구 수성구 용학로 106-7 뜨삽 수성본점
인스퍼레이션디동촌유원지,4.41,대구 동구 효동로6길 57 인스퍼레이션디 동촌유원지
바닐라빌리지,NaN,대구 서구 서대구로 152 원진빌딩 1층
산중식당 팔공산본점,4.33,대구 동구 팔공산로185길 55 1층
