폴 바셋 대구 만촌 DT점,NaN,대구 수성구 무열로 178
커스타드,NaN,대구 중구 동성로2길 21-9 custard
대봉정,4.48,대구 중구 명덕로 249
카페댐댐,NaN,대구 군위군 삼국유사면 삼국유사로 438-16
인아웃 대구점,NaN,대구 중구 국채보상로150길 76-12 2층
포레밀,NaN,대구 달성군 유가읍 휴양림길 481 포레밀
스타벅스 대구팔공산점,4.49,대구 동구 파계로 650
코즈 범어,NaN,대구 수성구 달구벌대로496길 19-4 1층
노팅힐커피하우스,NaN,대구 중구 명륜로23길 56 1층
세비지커피,4.8,대구 동구 효신로6길 33 1층
오퐁드부아 티 하우스,4.47,대구 달성군 가창면 주리2길 101 오퐁드부아 티하우스
사오,NaN,대구 중구 동성로 36 1층
피플스커피,4.51,대구 중구 봉산문화길 4 1층
스몰버드,NaN,대구 달성군 현풍읍 현풍로14길 20 스몰버드
엔제리너스 아일랜드점,NaN,대구 수성구 용학로 76 엘림빌딩 지하1층~1층
모노리스,NaN,"대구 동구 평화로 45-12 1,2,3층"
덴스크 대구혁신도시점,4.54,대구 동구 이노밸리로 140 5층 501호
핸즈커피 대구다운타운점,4.67,대구 중구 동성로5길 53
킹콩 G.C점,NaN,대구 달서구 화암로 322 1~2층
이끼,NaN,대구 수성구 달구벌대로526길 35 1층
두낫헤지테이트,4.55,대구 북구 동천로 127 2층
아눅 사월,NaN,대구 수성구 천을로 231 1층
우즈베이커리카페,4.4,대구 동구 송라로10길 2
이이알티 대구,4.6,대구 중구 대봉로 233-1
노다웃,4.67,대구 달서구 서당로7길 64 1층 No doubt
콘라트,NaN,대구 중구 동덕로14길 37 1층 konrad
샬로우커피 대구삼덕점,NaN,대구 중구 국채보상로150길 31 1층
슬로우터틀 약전골목점,4.57,대구 중구 남성로 53 1층
로비로비,NaN,대구 서구 와룡로90길 55 1층
모모상점,4.5,대구 중구 국채보상로150길 30 1층
나리꼬모 본점,4.41,대구 수성구 달구벌대로 2683
빠다롤 더 테라스,4.43,대구 달서구 조암남로14길 42
애리스커피스탠드,NaN,대구 중구 경상감영길 164 1층
블랙베어도넛 대구점,4.45,대구 중구 봉산문화1길 20 지상1층
모리스커피 교동점,NaN,대구 중구 경상감영길 176 패션주얼리전문타운 1층
카페 몰리스,4.69,대구 달서구 야외음악당로39동길 32 1층 카페몰리스
SPELL,NaN,대구 중구 삼덕동3가 303-8
벨빌베이크하우스 팔공산점,4.47,대구 동구 파계로 512
인아워베이크,NaN,대구 중구 동성로2길 18-8
드리퍼베이커,NaN,대구 중구 종로 57 1층 드리퍼베이커
수수밀소,4.39,대구 동구 매여로 320 수수밀소
우즈베이커리 성서점,4.42,대구 달서구 달서대로 573 코스텍타워 1층 우즈베이커리 성서점
미드웨이,4.61,대구 중구 동덕로14길 21 1층 미드웨이
더 댄스,4.75,대구 중구 국채보상로102길 35 2층
프롭베이커리,NaN,대구 북구 공항로 10-7 2층(복현동)
노즈커피하우스,NaN,대구 중구 명덕로 279 1층 노즈커피하우스 nose coffee house
대봉당1297,4.25,대구 중구 동덕로 14-1 1층
파계마루,4.42,대구 동구 파계로 613
파운드마켓,NaN,대구 중구 국채보상로 627-1 1층
우니카트,4.55,대구 수성구 범어천로 151-4
슬탕,NaN,대구 중구 동성로3길 23 1층
라봉봉제과점,4.55,대구 수성구 지범로21길 10
보정당,4.68,대구 동구 반야월로 222
접속,NaN,대구 중구 동성로 36-1 3층
슬로우터틀 중앙대로점,4.63,대구 중구 중앙대로 412-52 1층
크리스피크림도넛 대구동성로중앙점,4.52,대구 중구 중앙대로 392-1
마음이온다,4.56,대구 동구 서촌로23길 3 마음이온다
홈파인,NaN,대구 달성군 현풍읍 테크노중앙대로 325-34 1층
로스트로비,NaN,"대구 수성구 상록로2길 22 1,2층"
디어밸리,NaN,대구 동구 파계로 360
