장소,별점,주소
대교식당,4.38,대구 서구 달구벌대로375길 23 대교회식당
원조반고개무침회,4.62,대구 서구 달구벌대로375길 20
역전할머니맥주 대구반고개점,4.63,대구 서구 달구벌대로375길 6
신통치킨 상리공원점(용산파크타운 상가),4.59,대구 달서구 용산로 259 용산파크타운
카페캔버스 상리공원점,NaN,대구 달서구 용산로 259 용산파크타운 상가1층 카페캔버스버스
블랙타코앤그릴,4.53,대구 중구 공평로 31 건물 2층
머꼬삼겹살,4.78,대구 중구 동성로3길 32-43 1층
왕거미식당,4.42,대구 중구 국채보상로 696-8
얼디,4.69,대구 중구 달구벌대로445길 26-5 1층
티미드,NaN,대구 중구 국채보상로150길 76-6 1층
동아식당,4.55,대구 중구 국채보상로125길 14
바스코 동성로본점,4.58,대구 중구 동성로4길 100 vasco
카페 루시드,4.67,대구 중구 동성로4길 94
무하노뎅,NaN,"대구 중구 교동3길 31 1, 2층"
낙영찜갈비 본점,4.23,대구 중구 동덕로36길 9-17
자연산회,4.61,대구 달서구 장기로 285
장기동막창마을,4.78,대구 달서구 용산로 31
밥스딜라잇,NaN,"대구 달서구 장기로 231 1층,2층"
루나루이스,4.45,대구 달서구 대명천로 245
농부네숯불닭,NaN,대구 달서구 용산로 61 1층 농부네숯불닭
쭈꾸미집,4.46,대구 달서구 용산로 55
깔꾸리족발보쌈국수,4.55,대구 달서구 대명천로 240 1층
조돌해녀 장기점,4.53,대구 달서구 용산로 33 본리동 1199-5
곱창이야기 대구장기동점,4.63,대구 달서구 장기로57길 21 1층
포뜬갈비 장기점,4.32,대구 달서구 대명천로 282 포뜬갈비 장기점
블랙타코앤그릴,4.53,대구 중구 공평로 31 건물 2층
빠레뜨한남 대구 동성로점,NaN,대구 중구 동성로2길 58 2층 빠레뜨한남
사석,NaN,대구 중구 중앙대로 375 YMCA 건물 1층 사석
몽블랑드파리,NaN,대구 중구 동성로6길 21
오무하무 동성로점,NaN,대구 중구 동성로3길 5 2층
머꼬삼겹살,4.78,대구 중구 동성로3길 32-43 1층
숨은집 동성로본점,4.65,대구 중구 동성로1길 46-23 1층
도마29,4.62,대구 중구 동성로1길 46-2 도마29
과정,NaN,대구 중구 동성로2길 4-5 과정
차이,4.58,대구 중구 동성로2길 18-15
이대장구이,NaN,대구 북구 도남길 25-4 1층
공원식당,4,대구 달서구 송현로8길 18
송현대게,4.61,부산 수영구 광안해변로358번길 6
산엘아르카,4.46,대구 달성군 유가읍 휴양림길 416 브런치카페 산엘아르카
카페 담,4.38,대구 달성군 유가읍 유가사2길 15
송이초심정,4.22,대구 달성군 유가읍 유가사길 81 초심정
헤세디온,NaN,대구 달성군 유가읍 휴양림길 440-27
