장소,별점,주소,수정된 주소,위도,경도
공원기사식당,4.32,대구 달성군 논공읍 논공로 852-8,대구 달성군 논공읍 논공로,35.7326268,128.4550938
명갈비,,대구 달성군 논공읍 논공로9길 13,대구 달성군 논공읍 논공로9길,35.7292926,128.444474
찜닭상회,,대구 달성군 논공읍 논공로5길 57,대구 달성군 논공읍 논공로5길,35.7290826,128.4416781
피자치크,,대구 달성군 논공읍 논공로7길 26-13,대구 달성군 논공읍 논공로7길,35.7285769,128.4376972
요이땅치킨 논공점,,대구 달성군 논공읍 논공로5길 63,대구 달성군 논공읍 논공로5길,35.7290826,128.4416781
돈가스튀기는오빠 본점,,대구 동구 팔공로51길 41 정욱빌딩 1층,대구 동구 팔공로51길 41,35.9222505,128.6393787
한상바다 봉무본점,4.52,대구 동구 팔공로51길 15-13,대구 동구 팔공로51길 15-13,35.9222505,128.6393787
개정 이시아폴리스점,4.45,대구 동구 팔공로53길 77-2,대구 동구 팔공로53길 77-2,35.9231793,128.6354181
농부,4.5,대구 동구 팔공로51길 41 정욱빌딩2층 농부레스토랑,대구 동구 팔공로51길 41,35.9222505,128.6393787
한끼맛있다 이시아폴리스점,4.42,대구 동구 팔공로51길 31-10,대구 동구 팔공로51길 31-10,35.9222505,128.6393787
명륜진사갈비 대구 이시아폴리스점,,대구 동구 팔공로51길 15-8 2층,대구 동구 팔공로51길 15-8,35.9222505,128.6393787
해운대연탄생갈비 대구이시아폴리스점,,대구 동구 팔공로51길 15-7 105호,대구 동구 팔공로51길 15-7,35.9222505,128.6393787
메콩타이 이시아폴리스점,4.56,대구 동구 팔공로51길 15-8 101호,대구 동구 팔공로51길 15-8,35.9222505,128.6393787
행복한초밥,4.52,대구 동구 팔공로51길 11 1층 114호 행복한초밥,대구 동구 팔공로51길 11,35.9222505,128.6393787
백리향,4.43,대구 동구 팔공로 250 129호,대구 동구 팔공로 250,35.9506006,128.6491495
양춘회,,대구 중구 경상감영1길 13 1층,대구 중구 경상감영1길 13,35.8717842,128.5930285
차방책방,4.89,대구 중구 경상감영길 60 1층 차방책방,대구 중구 경상감영길 60,35.8708028,128.5859117
카페 태평살롱,,대구 중구 서성로14길 84 1층,대구 중구 서성로14길 84,35.8729487,128.588674
민물장어 직판장 풍천관 본점,4.89,대구 달서구 월곡로 268-10 풍천관 본점,대구 달서구 월곡로 268-10,35.8122629,128.54468
돼지만 대구본점,4.62,대구 달서구 상화북로 192,대구 달서구 상화북로 192,35.8125259,128.5478134
월촌역 청춘삼겹살,4.5,대구 달서구 송현로 40-1 청춘삼겹살,대구 달서구 송현로 40-1,35.8301943,128.5441454
비비당,,대구 달서구 월배로 203 1층 비비당,대구 달서구 월배로 203,35.8133817,128.5207133
심야매점 상인동본점,4.4,대구 달서구 월배로 199 1층 심야매점,대구 달서구 월배로 199,35.8133817,128.5207133
베를린 에스프레소 바,4.65,대구 달서구 미리샘길 82 1층,대구 달서구 미리샘길 82,35.8073511,128.5440062
가야성,4.37,대구 달서구 월배로83길 7,대구 달서구 월배로83길 7,35.8333104,128.5454183
최윤숙안동생고기뭉티기 본점,4.46,대구 달서구 월곡로47길 28,대구 달서구 월곡로47길 28,35.8138626,128.5372149
황금쭈꾸미집 상인점,4.92,대구 달서구 월곡로51길 17 황금쭈꾸미집,대구 달서구 월곡로51길 17,35.8158826,128.5372496
샤브20 상인점,,대구 달서구 월배로 227 2층,대구 달서구 월배로 227,35.8133817,128.5207133
대구조개창고 대구달서점,4.24,대구 달서구 명천로 43 길섶한우건물 2층,대구 달서구 명천로 43,35.8082441,128.5124043
니가아는식당 전골&편백찜 대곡점,4.51,대구 달서구 갈밭로4길 14 1층,대구 달서구 갈밭로4길 14,35.8021991,128.5320617
핑크라이언,4.68,대구 달서구 한실로6길 158-3 핑크라이언,대구 달서구 한실로6길 158-3,35.7971293,128.5289789
롤링핀 대구수목원점,,대구 달서구 한실로6길 158,대구 달서구 한실로6길 158,35.7971293,128.5289789
동이식당,4.4,대구 달서구 한실로6길 165-7,대구 달서구 한실로6길 165-7,35.79326,128.5299817
계령식당,4.36,대구 달서구 한실로6길 155-15 1층,대구 달서구 한실로6길 155-15,35.7971293,128.5289789
부용정 굴비정식,,대구 달서구 한실로6길 164 1층 101호,대구 달서구 한실로6길 164,35.7971293,128.5289789
정코다리 대곡점,4.42,대구 달서구 한실로6길 150 정코다리 대곡점 1층,대구 달서구 한실로6길 150,35.7971293,128.5289789
브리즈 브레드,4.47,대구 달서구 한실로6길 120-25 102호,대구 달서구 한실로6길 120-25,35.7971293,128.5289789
WANN,4.32,대구 달서구 한실로6길 161,대구 달서구 한실로6길 161,35.7971293,128.5289789
하빈밥집 본점,4.09,대구 달성군 하빈면 하목정길 32 하빈밥집본점,대구 달성군 하빈면,35.8955154,128.4246415
